Film,Ceremony,Award,Year
The Brutalist,Venice Film Festival,Winner: Arca CinemaGiovani Award - Best Film of Venezia 81,2024
The Brutalist,Venice Film Festival,Winner: Premio CinemaSarà,2024
The Brutalist,Venice Film Festival,Winner: FIPRESCI Award – Best Film from Venezia 81,2024
The Brutalist,Venice Film Festival,Winner: Silver Lion - Award for Best Director,2024
The Brutalist,Venice Film Festival,Winner: UNIMED Award,2024
The Brutalist,Academy Awards,Nominee: Best Original Score,2025
The Brutalist,Academy Awards,Nominee: Best Director,2025
The Brutalist,Academy Awards,Nominee: Best Original Screenplay,2025
The Brutalist,Academy Awards,Nominee: Best Picture,2025
The Brutalist,Academy Awards,Nominee: Best Editing,2025
The Brutalist,Academy Awards,Nominee: Best Actor in a Leading Role,2025
The Brutalist,Academy Awards,Nominee: Best Cinematography,2025
The Brutalist,Academy Awards,Nominee: Best Actor in a Supporting Role,2025
The Brutalist,Academy Awards,Nominee: Best Production Design,2025
The Brutalist,Academy Awards,Nominee: Best Actress in a Supporting Role,2025
The Brutalist,Independent Spirit Awards,Nominee: Best Director,2025
The Brutalist,Toronto International Film Festival,Official Selection,2024
The Brutalist,International Film Festival Rotterdam,Official Selection,2025
The Brutalist,Indiewire Critics' Poll,2nd place: Best Performance,2024
The Brutalist,Indiewire Critics' Poll,2nd place: Best Cinematography,2024
The Brutalist,Indiewire Critics' Poll,3rd place: Best Screenplay,2024
The Brutalist,Indiewire Critics' Poll,2nd place: Best Film,2024
The Brutalist,Indiewire Critics' Poll,Winner: Best Director,2024
The Brutalist,São Paulo International Film Festival,Official Selection,2024
The Brutalist,American Film Institute Awards,Winner: Movie of the Year,2024
The Brutalist,BAFTA Awards,Nominee: Original Score,2025
The Brutalist,BAFTA Awards,Nominee: Best Leading Actor,2025
The Brutalist,BAFTA Awards,Nominee: Best Production Design,2025
The Brutalist,BAFTA Awards,Nominee: Best Screenplay (Original),2025
The Brutalist,BAFTA Awards,Nominee: Best Cinematography,2025
The Brutalist,BAFTA Awards,Nominee: Best Supporting Actress,2025
The Brutalist,BAFTA Awards,Nominee: Best Director,2025
The Brutalist,BAFTA Awards,Nominee: Best Supporting Actor,2025
The Brutalist,BAFTA Awards,Nominee: Best Film,2025
The Brutalist,New York Film Festival,Official Selection,2024
The Brutalist,Directors Guild of America,Nominee: Outstanding Directorial Achievement in Theatrical Feature Film,2025
The Brutalist,Golden Globes (USA),Nominee: Best Performance by a Female Actor in a Supporting Role in any Motion Picture,2025
The Brutalist,Golden Globes (USA),Nominee: Best Performance by an Actor in a Supporting Role in any Motion Picture,2025
The Brutalist,Golden Globes (USA),Winner: Best Director - Motion Picture,2025
The Brutalist,Golden Globes (USA),Nominee: Best Screenplay - Motion Picture,2025
The Brutalist,Golden Globes (USA),Nominee: Best Original Score - Motion Picture,2025
The Brutalist,Golden Globes (USA),Winner: Best Performance by a Male Actor in a Motion Picture – Drama,2025
